,original_text,label
0,"There is manuscript evidence that Austen continued to work on these pieces as late as the period 1809 â '' 11 , and that her niece and nephew , Anna and James Edward Austen , made further additions as late as 1814 .",1
1,"In a remarkable comparative analysis , Mandaean scholar Säve-Söderberg demonstrated that Mani 's Psalms of Thomas were closely related to Mandaean texts .",1
2,"Before Persephone was released to Hermes , who had been sent to retrieve her , Hades tricked her into eating pomegranate seeds , -LRB- six or three according to the telling -RRB- which forced her to return to the underworld for a period each year .",1
3,"Cogeneration plants are commonly found in district heating systems of cities , hospitals , prisons , oil refineries , paper mills , wastewater treatment plants , thermal enhanced oil recovery wells and industrial plants with large heating needs .",1
4,"Geneva -LRB- , ; , ; , ; ; -RRB- is the second-most-populous city in Switzerland -LRB- after Zürich -RRB- and is the most populous city of Romandie -LRB- the French-speaking part of Switzerland -RRB- .",1
5,"When Japan earned another race on the F1 schedule ten years later , it went to Suzuka instead .",1
6,"This marked the first motorcycle racing event at the facility since its first month of operation , in August 1909 .",1
7,Ka La Ku'oko ' a -LRB- Hawaiian Independence Day -RRB- : The Kingdom of Hawai`i is officially recognized by the United Kingdom of Great Britain and Ireland and July Monarchy France as an independent nation .,1
8,"A scythe -LRB- Oxford English Dictionary , Oxford University Press , 1933 : Scythe -RRB- is an agricultural hand tool for mowing grass , reaping crops , or reaping people -LRB- i.e. the Grim Reaper -RRB- .",1
9,Toshihide Saito is a Japanese football -LRB- soccer -RRB- defender .,1
10,"Many still refer to 25 , 50 and 75 paise as 4 , 8 and 12 annas respectively , not unlike the usage of '' bit '' in American English for â",1
11,"In Holland they were called Stadspijpers , in Germany Stadtpfeifer and in Italy Pifferi .",1
12,"Plays and comic puppet theater loosely based on this legend were popular throughout Germany in the 16th century , often reducing Faust and Mephistopheles to figures of vulgar fun .",1
13,"Directed by Jon Avnet and written by Fannie Flagg and Carol Sobieski , it stars Kathy Bates , Jessica Tandy , Mary-Louise Parker and Mary Stuart Masterson .",1
14,Beaumont-Pied-de-B Å '' uf is a commune in the Mayenne department in north-western France .,1
15,"In September 1869 , O'Reilly escaped and was rescued by an American ship .",1
16,"The Algerian government cut the electricity supply to at least large parts of the capital Algiers -LRB- and allegedly to large parts of the country -RRB- , to prevent the program from being seen .",1
17,"Castleton is a honeypot village in the Derbyshire Peak District , in England .",1
18,"Sensing of both the external and internal environments at the cellular level relies on signal transduction . Many disease processes , such as diabetes , heart disease , autoimmunity , and cancer arise from defects in signal transduction pathways , further highlighting the critical importance of signal transduction to biology , as well as medicine .",1
19,The width of the slide rule is quoted in terms of the nominal width of the scales .,1
20,"May 27 , 1199 Friday -- John Lackland -LRB- 1167 -- 1216 -RRB- became King of England upon the death of his older brother Richard the Lion Hearted .",1
21,A very wide covered footbridge joins all platforms at their western ends but does not provide entry to or egress from the station .,1
22,Its widespread presence in many seeds and fruits may serve to stimulate the digestive tract into expelling the seeds .,1
